회사 이름,분야,회사 소개,로봇 분류,로봇 이름,로봇 설명,부스위치,사이트,열2
티로보틱스,-,-,재활로봇,MYOSUIT,"기존의 외골격로봇과는 차별화된 하이브리드 타입 웨어러블 로봇입니다. 하나의 구동기로 고관절과 무릎이 중력에 저항하는 힘을 보조합니다. 착용자의 움직임을 자동으로 인식하여 앉기/서기, 걷기, 계단 오르기 등의 보행을 지원합니다. 근력, 지구력, 균형 활동을 집중 훈련 가능합니다.",-,-,
티로보틱스,-,-,자율주행 로봇(AMR),T-BOT1 SL,고하중 및 다양한 형태의 활용이 가능한 자율주행 물류 협동 로봇입니다. 컴팩트한 사이즈에 리프트가 장착되어 있어 한결 더 편리한 이송이 가능합니다.,-,-,
티로보틱스,-,-,자율주행 로봇(AMR),T-BOT1 R,"최대 1톤까지 적재 가능한 독립형 자율 주행 이송 로봇입니다. 자율주행로봇의 비젼 인식, 위치 및 제어에 대한 기반기술을 확보하고 있습니다.",-,-,
티로보틱스,-,-,자율주행 로봇(AMR),T-BOT1 RC,로봇 암과 컨베이어 결합형 자율주행 물류 협동 로봇입니다. 검증된 HW의 안정성과 ACS 관제 소프트웨어로 국내 설정에 맞는 고객 요구사항에 신속히 적용 제공합니다.,-,-,
티로보틱스,-,-,자율주행 로봇(AMR),MDA-500/1000,"자체 개발한 ACS 기술로 병목 현상 없는 효율적인 관제 소프트웨어가 탑재되어 있습니다. 주문품이 적재된 랙을 피커에게 이송해 주는 GTP(Goods to Person) 운영 방식으로 전환시켜 줍니다. 인력  의존도를 획기적으로 낮추어 운영비용 절감, 생산성 향상, 휴면 에러를 방지할 수 있습니다.",-,-,
티로보틱스,-,-,엔터테인먼트 로봇,FOODTECH-DRIP,커피 핸드 드립 푸드테크 로봇입니다. 일정한 물 조절이 관건인 핸드드립 커피에서 드립봇은 정확한 드립 알고리즘으로 편차 없는 일정한 맛을 유지한 커피를 즐길 수 있습니다. ,-,-,
티로보틱스,-,-,엔터테인먼트 로봇,FOODTECH-DRINK,칵테일 바턴더 로봇입니다. 인간의 영역이라고 생각했던 쉐이킹 퍼포먼스를 로봇이 구현하며 칵테일-에이드 등의 다양한 음료를 로봇이 직접 제조합니다.,-,-,
티로보틱스,-,-,엔터테인먼트 로봇,FOODTECH-DESSERT,디저트 파티쉐 로봇입니다. 고객이 직접 선택한 드로잉을 입력하면 즉석에서 케이크 위에 드로잉 데코레이션을 합니다.,-,-,
티로보틱스,-,-,엔터테인먼트 로봇,XR ATTRACTION-XR RIDE,Dark Rides와 미디어 아트를 조합하여 HMD를 착용하지 않고 즐길 수 있는 로봇 라이드입니다. 티로보틱스의 검증된 안전성을 가진 로봇 라이드를 타며 가상 현실과 증강현실을 오가는 상상 초월의 역동적이고 짜릿한 재미를 경험할 수 있습니다.,-,-,
오토씨에프티,로봇 부품,(주)오토씨에프티는 우수한 인력과 축적된 기술로 CARRYMASTER와 LEVELLING FOOT을 생산 공급하고 있습니다. 정확한 설계에서 생산에 이르기까지 우수한 제품을 저렴하고 안정적으로 공급하기 위하여 전 임직원은 항상 연구와 노력을 다하고 있습니다.,-,-,-,B13,https://www.autocft.co.kr/korea/page/index.html,
HYUNDAI WIA,"스마트팩토리, 스마트 제조/물류 솔루션, 물류로봇(AMR/AGV), 다관절로봇(협동로봇/MPR), 주차로봇, 서비스로봇 (DAL-e. 무인청소차)","세계적인 자동차 부품 제조사인 현대위아는 기계를 만드는 기계, 공작기계 분야에서 대한민국 최고의 위치를 점하고 있으며 전세계 완성차 업체에 최상의 품질과 성능을 갖춘 혁신적 제품을 공급합니다.
자동차 부품의 기초 소재부터 엔진과 모듈 등속조인트 등의 부품을 직접 생산하는 동시에 친환경 차량용 열관리 시스템과 수소전기차의 주요 부품인 공기압축기 등을 개발하며 미래 자동차 시장 트렌드에도 적극 대응하고 있습니다. 아울러 초정밀 공작기계와 스마트팩토리, 협동로봇을 통해 전세계 제조업체의 생산 및 품질역량을 한 단계 끌어올리고 있습니다.",-,-,-,B14,https://www.hyundai-wia.com/main/main.asp,
시스콘,"자율주행 로봇(AMR), 물류이송 로봇(AGV)","(주)시스콘은 공장 자동화 전문 기업으로 오랜 경험과 선진 기술을 통해 4차 산업혁명 시대에서 요구되는 종합적인 Solution을 제공하고 있는 기업입니다. 
자동화에 필요한 시스템 컨설팅부터 프로그램 개발, 시운전, 유지보수 및 교육 등의 서비스를 제공하고 있으며, 자체 연구소를 통해 자율주행 이송 로봇 개발 및 IT Solution 개발을 하고 있습니다. 
특히, 우리 회사가 가지고 있는 FA, IT, 그리고 ROBOT 기술을 융합함으로써 The Value of Digital Convergence, 디지털 융합의 가치라는 회사 슬로건으로 고객에 다가가고 있습니다. 
이것은 그동안 분리되어 있던 세가지 분야를 통합하는 서비스로, Smart Factory 를 만드는데 시스콘이 가지는 차별화된 경쟁력이며 가치이기도 합니다. 
(주)시스콘은 언제나 책임있는 자세와 끊임없는 열정으로 고객사와 함께 성장한다는 마음으로 최선의 엔지니어링 서비스와 최고의 Solution을 공급하는 기업이 되도록 하겠습니다.",-,-,-,C01,http://syscon.kr/,
시스콘,-,-,자율주행 로봇(AMR),SR SERIES,"저중량 로봇 플랫폼이다. 산업용, 풀필먼트, 서비스 로봇 베이스로 활용된다. 다양한 차상 어플리케이션 활용 가능하다.",-,-,
시스콘,-,-,물류이송 로봇(AGV),HPA / DLF,200톤 까지의 Payload를 지원하는 고중량 AGV이다. 팔레트 운송 워크플로우를 지능적으로 처리 할 수 있는 무인지게차이다. AMR과 다양한 협업이 가능하다.,-,-,
시스콘,-,-,자율주행 로봇(AMR),IM SERIES,"대형창고, 마트 등 소중량 딜리버리, WMS 관제연동 가능하다. 공항, 호텔, 지하철 역사 구간내 안내 서비스를 할 수 있다.",-,-,
한국로봇산업진흥원,로봇 정책,지능형 로봇산업 육성을 위한 다양한 사업을 효율적이고 체계적으로 추진하고 관련정책의 개발을 지원하는 기관으로서 한국 로봇산업진흥원 설립,-,-,-,C02,https://www.kiria.org/,
경남테크노파크,-,경남의 지역산업 발전과 기업의 성장을 선도하는 허브 기관,-,-,-,C03,https://www.gntp.or.kr/,
원익로보틱스,"자율주행 로봇(AMR), 서비스 로봇","원익로보틱스는 자율주행로봇(AMR) 개발 및 공급을 시작으로 다양한 제조현장의 물류자동화 요구를 기반으로 다양한 솔루션을 설계/개발하여 제공하고 있습니다.
물류자동화 설계/엔지니어링을 핵심 역량으로, 2차전지 화성공정 물류자동화, CNC 선반 머신텐딩, 디지털 트윈 기술을 이용한 공정 시뮬레이션 등 제조현장에 필요한 다양한 물류자동화 솔루션를 제공하고 있습니다.
최신 자동화 및 로봇 공학 기술에 대한 깊은 이해를 바탕으로 고객에게 프로세스를 간소화하고 비용을 절감하며 전반적인 효율성을 개선하는 솔루션을 제공하고 있습니다.  ",-,-,-,C06,https://www.wonik.com/index,https://www.wonikrobotics.com/%ED%9A%8C%EC%82%AC-%EA%B0%9C%EC%9A%94
원익로보틱스,-,-,자율주행 로봇(AMR),AMR,물류를 효율적으로 자동화 하는 AI기반 자율주행로봇입니다. 운송 작업 자동화로 인한 업무 생선성 증대. 기존 시설물 변경 불필요. 상단 모듈의 다양한 확장성. 센서융합기술의 적용하여 위치 추정 및 동작/충돌/회피계획이 가능한 자율주행 로봇입니다.,-,-,
원익로보틱스,-,-,배송 로봇,JimBot,자율 주행 기능으로 정해진 시간과 장소에서 수화물을 운반하고 보관할 수 있습니다.  장애물 방지 능력과 함께 동적 장애물을 탐지합니다. 인천국제공항에서 에어포터라는 이름으로 서비스 중입니다. 방문객들에게 짐 없는 여행 경험을 제공합니다.,-,-,
원익로보틱스,-,-,보안/순찰 로봇,SeRo,"건물, 창고, 공장에서 보안 및 안전 서비스를 제공합니다. 원격 제어 가능한 CCTV, 건물 순찰 및 보안 기능이 있습니다. AI 시스템이 이상 상황을 감지합니다. 인천국제공항에서 보안 및 방역 로봇 SerRo가 서비스 중입니다. 방문객의 체온과 마스크 착용 상태를 확인합니다. ",-,-,
원익로보틱스,-,-,소독로봇,DiRo,자율주행 기술로 24시간 상시 무인 소독합니다. 인체에 무해한 222nm UVC로 바닥과 공기를 소독합니다. 주야간 바닥소독 및 공기정화 일을 합니다. 인천 국제 공항에서 운행 중입니다.,-,-,
한국엡손,산업용 로봇,"엡손은 사람, 사물, 정보를 보다 효율적이고 정밀한 기술로 연결하는 글로벌 기술 선도 기업입니다.
잉크젯 프린터 및 디지털 인쇄 시스템부터 3LCD 프로젝터, 센싱 시스템, 산업용 로봇까지 다양한 분야의 라인업을 갖추고 있으며 환경을 생각하는 기술력으로 여러 산업 솔루션의 혁신을 주도하고 고객의 기대를 뛰어넘고자 합니다.",-,-,-,C07,https://www.epson.co.kr/,
YUJIN ROBOT,"자율주행 로봇(AMR), 자동화 설비","유진로봇은 1988년 설립되어 30년 이상 한국의 로봇산업을 이끌고 있는 로봇 1세대 기업으로서 2020년 기준 국내외 약 200여개의 특허 등록 및 출원 현황을 보유하고 있는 R&D 측면에서의 집중적인 역량을 보유하고 있습니다. 
유진로봇은 오랫동안 비즈니스를 지속하면서 안정적인 제품과 솔루션을 만들 수 있는 연구와 지식 기반을 축적해왔습니다. 
기존에 이런 솔루션에는 축구, 사회적 상호작용, 군사 및 안내 로봇에서 진공 청소 로봇에 이르는 다양한 유형과 기능의 로봇이 포함되어있습니다.",-,-,-,D01,https://yujinrobot.com/,
YUJIN ROBOT,-,-,자율주행 로봇(AMR),스탠다드 AMR,"GoCart는 다양한 동적 환경과 물류 응용분야에서 사용할 수 있는 자율주행 기반 이송 플랫폼입니다. 유진로봇의 독자적인 3D ToF LiDAR 기반의 지능형 자율주행 기술을 활용해 기존 이송 플랫폼 서비스 이용을 위해 설치한 마그네틱 라인, 마커 등 주행 보조 도구의 설치 없이 정밀한 주행과 장애물 회피가 가능합니다.",-,-,
YUJIN ROBOT,-,-,자율주행 로봇(AMR),커스텀 AMR,"유진로봇은 35년의 업력을 보유하고 있는 국내 1세대 로봇기업으로서 로봇과 자동화 영역에서 풍부한 노하우와 경험을 보유하고 있습니다. 4차산업 시대를 맞이한 후 갈수록 고도화된 기술력이 요구되고 있습니다. 또한 제품군이 다양해지고 공정이 더욱 세분화되면서 AMR도 다양한 적재하중을 이송할 수 있고 생산환경에 최적화된 로봇이 요구되고 있습니다. 또한 정밀해진 작업 현장 내 더 높은 생산성과 효율적인 비용절감 및 운영, 근로자의 안전과 쾌적한 작업환경 등 다양한 요소를 고려해야 하는 만큼 AMR의 필요성은 앞으로 더욱 커질 것입니다.",-,-,
YUJIN ROBOT,-,-,자동화 설비,-,"유진로봇은 제조업, 반도체, 자동차 등 다양한 산업 분야 생산 라인에 들어가는 자동화 설비를 제작하여 공장 자동화를 구현하고 있습니다. 고객별로 다양한 환경에 맞는 SI, 라인 설비, 셀 설비, 단독 설비를 제작해 최적의 작업 환경을 구축합니다. 유진로봇은 최적화된 공장 자동화 환경을 구축하기 위해 각 공정마다 터치패널을 설치해 설비 조작과 데이터 저장, 모니터링을 진행합니다. 수집된 데이터를 바탕으로 시스템과의 네트워크를 통해 생산 제품에 대한 생산관리, 이력관리, 추적관리가 가능한 실시간 현장 모니터링 시스템을 구축하고 있습니다",-,-,
테크맨로봇,협동로봇(매니퓰레이터),"2016년 설립된 Techman Robot은 대만에 본사를 둔 유일한 협동로봇 제조 업체 입니다. 
저희는 중국, 유럽, 한국, 일본, 동남아시아에 위치한 100개 이상의 대리점 네트워크를 통해 내장형 비전 시스템, 소프트웨어, 그리고 어플리케이션 기반으로 한 협동로봇 솔루션을 시장에 제공합니다. 
2016년 출시된 이후, 저희는 현재 세계 2위의 협동로봇 브랜드가 되었으며 지금도 세계시장에서 빠르게 성장하고 있습니다.",-,-,-,D04,https://www.tm-robot.com/ko/tm-robot/,
테크맨로봇,-,-,협동로봇(매니퓰레이터),TM 시리즈,"AI 기반의 TM협동로봇은 주변 환경과 작업부품의 누락, 위치 및 방향성을 인식하여 시각적 기능과 픽엔플레이스와 같은 동적인 작업을 동시에 수행합니다.",-,-,
테크맨로봇,-,-,협동로봇(매니퓰레이터),TMS 시리즈," AI 기반 코봇 제품군으로, 5kg, 7kg, 12kg, 14kg 페이로드로 구성되어 있고 ±0.03mm의 인상 깊은 반복성을 자랑합니다. 사람과 안전하게 협업하도록 설계된 S 시리즈는 유연하고 사용하고 배포하는 것이 간편하여 기계 가공, 자동차, 반도체, 가전제품 및 식품을 포함한 다양한 산업에서의 자동화에 매우 적합합니다.",-,-,
컴파스시스템,메모리 반도체 프로그래밍,"디바이스프로그래머의 리더에서 세계적인 기업으로 도약
컴파스시스템은 2000년 법인설립 이래 고객들의 사랑과 신뢰 속에 지속적인 성장을 거듭해 왔습니다.
국내 유일의 메모리 반도체 Total 프로그래밍 장비기업",-,-,-,D05,http://www.compass21.com/default/,
컴파스시스템,-,-,-,ROM-WRITING 자동화/반도체부품 테스터기 자동화 (자동화장비) ,"디바이스 프로그래머를 장착한 자동화장비는 수작업으로 인한 불량을 제거하고 생산성 향상에 기여하며, 최근에는 완전자동화를 추구하는 협동로봇을 이용하여 플래시 메모리를 자동으로 교체가능 합니다. 주로 대량생산시설에 사용됩니다.",-,-,
컴파스시스템,-,-,-,ROM-WRITER(DEVICE PROGRAMMER),"EPROM, EEPROM, FLASH, MICOM, CPLD 같은 프로그램 가능한 비 휘발성 DEVICE 들은 회로에서 동작하기 위해서는 실행 파일이 필요하며 이 실행 파일을 Device 내부 비 휘발성 메모리 영역에 프로그래밍하는 장비",-,-,
컴파스시스템,-,-,-,SOCKET & ADAPTERS,"Adapter란 Device Programmer 에서는 다양한 종류의 Device Package를 지원해야 합니다. 다양한 종류의 Device Package를 Device Programmer 에서 사용 가능하도록 변환해주는 장치를 Socker Converter라고 합니다.

Socket이란 롬라이터로 부터 발생된 전기적 신호가 어댑터보드를 통해 소켓핀으로 전달되고, 곧 디바이스의 각 핀으로 전해져서 롬라이팅을 수행하는 역할을 하는 것으로 Pogo Pin Type, Pad Type, Spring Pin Type 등이 있습니다.",-,-,
SWF & 삼우자동화,자동공급기,"현재 국내 및 해외업체들의 전문인력난 및 고임금 난의 해소를위해 자동화의 필요성으로 인하여 저희 삼우자동화기계는 수많은 업체들의 협조 아래 자동공급기 및 조립자동화 기계를 제작하여 납품하고 있습니다. 또한, 세계화의 물결 아래 동종업체간의 기술제휴 및 기술공조로 국내 기술의 세계화를 위해 끊임없이 노력하고 있으며, 품질향상 및 대량생산을 위해 제품의 규격화를 실현하고 있습니다.",-,-,-,D06,https://swauto1.tistory.com/,http://www.feeder.co.kr/
에이로봇,"휴머노이드, 서비스로봇, 웰컴로봇, 반려로봇","A robot 4(for) all. 저희 (주)에이로봇은 모두를 위한 로봇을 만들겠다는 목표 아래, 인간과 로봇이 공존하는 세상을 실현하기 위해 노력하고 있습니다. 
저희는 사용자로 하여금 더욱 편하고 자연스럽게 로봇을 받아들일 수 있도록,  HRI(Human Robot Interaction)을 기반으로 로봇의 행동 패턴을 개발하고 있습니다. 
따라서 저희의 로봇은 외형 디자인에서부터 표정, 음성, 제스처에 이르기까지, 긍정적 사용자 경험(UX)을 디자인하기 위해 섬세하게 고려되었습니다. A robot 4(for) all. 저희 (주)에이로봇은 모두를 위한 로봇을 만들겠다는 목표 아래, 인간과 로봇이 공존하는 세상을 실현하기 위해 노력하고 있습니다. 
저희는 사용자로 하여금 더욱 편하고 자연스럽게 로봇을 받아들일 수 있도록,  HRI(Human Robot Interaction)을 기반으로 로봇의 행동 패턴을 개발하고 있습니다. 
따라서 저희의 로봇은 외형 디자인에서부터 표정, 음성, 제스처에 이르기까지, 긍정적 사용자 경험(UX)을 디자인하기 위해 섬세하게 고려되었습니다. ",-,-,-,D07,http://arobot4all.com/,
에이로봇,-,-,휴머노이드,앨리스(ALICE),"앨리스는 휴머노이드 로봇입니다. 인간을 닮은 휴머노이드는 인간이 할 수 있는 일이라면 무엇이든 할 수 있습니다.
그렇기에 앨리스의 활용범위는 당신의 상상력이 닿는 만큼 무궁무진합니다.",-,-,
에이로봇,-,-,웰컴로봇,제미니(Gemini),"웰컴 로봇 제미니는 다양한 상업 시설에서 방문객을 따뜻하게 맞이하며 필요한 정보를 안내합니다.
기능 모듈화를 통해 주문자 맞춤 제작이 가능하며, ChatGPT와 같은 생성형 인공지능을 활용하여 한차원 높은 서비스를 제공합니다.",-,-,
에이로봇,-,-,반려로봇,에디(Edie),"반려로봇 에디는 사용자와 깊은 애착관계를 형성하여, 사용자에게 정서적 안정감과 편안함을 제공합니다.
로봇이지만 로봇이라고 인식하지 못할 만큼의 자연스러움, 에디를 입양하세요",-,-,
바움뉴텍,로봇 부품,"저희는 독일과 스위스의 우수한 제품으로 고속, 고하중, 고정밀 구동 시스템 컴포넌트를 컨셉 리포터와 사양 협의를 통해 제품의 품질 향상과 원가절감에 기여해 왔습니다.",-,-,-,D08,http://baumnewtec.com/,
바움뉴텍,-,-,로봇 부품,하모닉 감속기,-,-,-,
바움뉴텍,-,-,로봇 부품,슬루잉 베어링,-,-,-,
세이프틱스,로봇 공정 설계,"세이프틱스는 로봇과의 안전한 공존기술을 만듭니다.
사람과 로봇의 동행이 시작되었지만, 몇 가지의 심플한 안전규칙으로는 사람-로봇간 다양한 물리적 상호작용에 대한 안전을 보장할 수 없습니다.
세이프틱스는 보다 근본적인 해결책으로 로봇에게 안전감각을 학습시켜 사람과 로봇의 동행을 준비합니다.",-,-,,D09,https://safetics.io/,
창세 이노베이션,SMT 전문 제조 · 반도체 전문 유통 회사,"저희 회사는 SMT 전문 제조회사로서, 국내외 생산되는 반도체를 국내 제조업체 및 개발업체에 공급하고 있습니다.
고객님의 요구에 적극 대응할 수 있도록 여러 해외 업체들과 활발히 교류하고 있으며, 다양한 경험을 바탕으로 끊임없이 변화를 추구하는 기업이 되겠습니다",-,-,-,D10,http://www.changseinno.com/,
짐보 로보틱스,"실내 측위모듈, 추종이송대차, 자율주행로봇 ",-,-,-,-,D11,-,
나우 로보틱스,"산업용 로봇, 취출로봇, 직교로봇, 다관절로봇, 스카라로봇, 스마트 팩토리와 사출 자동화 시스템","산업용 로봇, 취출 로봇, 직교 로봇, 다관절 로봇, 스카라 로봇, 스마트 팩토리와 사출 자동화 시스템까지! 
나우로보틱스만의 특화된 기술과 노하우로 최적의 솔루션을 제공합니다! 로봇 전문가가 제안하는 최적의 자동화 시스템을 경험하세요!",-,-,-,E01,https://naurobot.com/,
나우 로보틱스,-,-,산업용 로봇(직교 취출 로봇),NURO SERIES,"뉴로는 기존 사출 현장에 적용돼 있던 직교 취출 로봇의 한계를 완벽하게 보완했습니다! 경량화에 슬림화를 적용하여 공간 제약을 최소화한 설계를 기본으로, 기존 직교로봇의 한계를 극복하기 위해 J모션을 탑재해 더욱 빠른 사출성형 취출 타임 사이클을 제공합니다!
이더넷 기반의 서버 기술을 탑재해 자유롭게 서버 시스템과 호환이 가능하며, 로봇 본체에 탑재된 통신(Communication) 기능을 MES 솔루션과 연계(Connection)해, 화면을 통해 지속적으로(Continuation) 생산현황을 확인해 완벽한 공정 자동화 시스템을 구현할 수 있습니다!
뉴로는 나우로보틱스에서 자체 개발한 전용 소프트웨어와 티칭팬던트를 적용해 더욱 쉽고 편하게 사용이 가능합니다! 사출성형 공정에 맞춰 제작한 소프트웨어로 로봇 전문가가 아니어도 쉽게 조작이 가능하며 공정별로 맞춰 최적화된 프로그래밍을 제공합니다! ",-,-,
나우 로보틱스,-,-,산업용 로봇(다관절 로봇),NURO X SERIES,"나우로보틱스의 뉴로 엑스 (NURO X) 시리즈는
기존에 초보자들이 다루기 어려웠던 다관절 로봇의 문제와
복잡해져 가는 사출성형의 흐름을 직교로봇으로 대응하기 힘들었던 문제들을
완벽하게 보완하기 위해 제작 됐습니다!
뉴로 엑스 시리즈는 플라스틱 사출 전용 다관절 로봇으로 간단한 작업교시 시스템을 갖춰
로봇에 특화된 전문가나 엔지니어가 없어도 현장에서 손쉽게 사용이 가능합니다!
간편한 작동 시스템, 콤팩트한 구조, 높은 정확성, 빠른 속도 등의 장점을 통해
현장에서 유연하게 대처하고 높은 신뢰성을 자랑하며
뛰어난 퍼포먼스로 생산효율을 극대화 합니다!
또한 사출성형 현장의 기본적인 인서트와 취출 작업 뿐만 아니라
커팅작업, 삽입과 패키징, 운반 등 다양한 후작업에도 적용해
2차 자동화 시스템 구축이 가능합니다!",-,-,
나우 로보틱스,-,-,산업용 로봇,NUCA SERIES,"나우로보틱스의 뉴카(NUCA) 시리즈는 제조 공정 자동화라인에 가장 잘 부합할 수 있도록
현장의 다양한 니즈를 반영하여 탄생했습니다. 고정밀 조립, 최고 속도의 뛰어난 퍼포먼스,
최적의 자동화를 원하신다면 뉴카와 함께 하세요!
뉴카는 가장 콤팩트한 디자인을 겸비해 좁은공간에서도
고도의 세밀한 작업을 해내는 NUCA3-R400 모델, 관절 모듈을 적용해 공간을 절약하고 기존 타사 제품 대비 더욱 빠르고 정확하게 움직여 높은 완성도를 보여주는 NUCA5-R400 모델, 최대 하중 6kg를 바탕으로 넓은 작업 반경을 커버하여 간단한 작업부터 복잡한 공정에 모두 적용 가능한 NUCA6-R500, NUCA6-R600 모델이 있습니다!
여기에 별도로 스카라 로봇에 최적화된 전용 티칭팬던트를 지원합니다. TAICHI 프로그래밍 언어를 바탕으로 로봇 제어와 IO 시스템, 네트워크 커뮤니케이션 등을 광범위하게 지원해 작업교시를 원활하게 하고, 자동화 공정 시스템을 효율적으로 지원합니다. 
또한 전용 컨트롤러 NRC-40은 소프트웨어에 실시간 시스템과 버스 콘트롤을 탑재해 로봇 가동시 높은 퍼포먼스를 지원합니다. ",-,-,
코가로보틱스,서빙로봇,"코가로보틱스는 자율주행 솔루션(CoNA)과 자체 개발한 로봇OS(COGA)를 기반으로 서빙로봇, 물류로봇, 모빌리티를 가지는 다양한 로봇을 개발, 제품화에 주력하고 있습니다. 지속적인 기술의 혁신과 개발을 통하여 로봇지능을 고도화 하고, 새로운 제품과 서비스를 만들어 세상의 변화를 가져다줄 모빌리티 토탈 솔루션의 글로벌 탑 티어를 지향합니다.",-,-,-,E02,https://www.coga-robotics.com/,
코가로보틱스,-,-,서빙로봇,서빙고 패밀리,서빙고는 바쁘고 고된 매장에서 똑똑한 서빙을 책임지는 AI기반 실내 자율주행 서빙로봇입니다. 대한민국의 대표 로봇 전문가와 디자이너가 공들여 만든 K-서빙로봇을 만나보세요,-,-,
하이젠모터,모터 전문업체,하이젠모터 주식회사는 1963년에 LG전자의 사업부를 모태로 출발하여 우라나라 최초로 모터제작을 시작한 이래 54년간 일관되게 모터사업에 종사하여 온 전통과 역사를 이어 받은 모터 전문 기업입니다.,-,-,-,E03,http://www.higenmotor.co.kr/,
하이젠모터,-,-,다관절로봇,HMR-RVR 시리즈,"4~6축, 가반 하중 3~165kg, 작업범위 950~31000mm",-,-,
하이젠모터,-,-,델타 로봇,델타 로봇,"3~5축, 가반 하중 0.5~40kg, 작업범위 200~1600mm. 정지 정밀도 +-0.2mm 실현으로 정확한 적재 위치로 이동. 관절의 연결 부분은 구동 중 분리되지 않는 견고함. 카본(탄소섬유) 재질 적용으로 고수명 & 경량화 실현",-,-,
짐머그룹,-,"Zimmer Group은 글로벌한 기술 리더로, 핸들링, 댐핑, 리니어, 공정, 공구, 기계 기술 분야에서 뛰어난 프리미엄 제품을 제공합니다. 1980년 차고에서 시작해 현재는 1300명 이상의 직원과 함께, 세계 125개국에 걸쳐 활동하며 매출 1억 6천만 유로 이상을 기록하고 있습니다. 
Zimmer Group은 THE KNOW-HOW FACTORY로서 다양한 기술 분야에서 원스톱 서비스를 제공하며 글로벌 플레이어로 자리매김하고 있습니다.",-,.,-,E04,https://www.zimmer-group.com/ko/,
쎄텍,"물질 검사, 측정 및 분석기구 제조업","(주)쎄텍은 스트레인 게이지 방식의 TORQUE TRANSDUCER, LOAD CELL, NUTRUNNER, INDICATOR, L.V.D.T, AMPLIFIER 등을 제조, 판매하는 종합계측기 브랜드입니다.",-,-,-,E05,http://www.setech.co.kr/,
쎄텍,-,-,다관절 체결로봇(매니퓰레이터),KN07-R5,"Payload 7kg 다관절 로봇과 STNR-RS 1 set으로 구성되어있다. 에어 실린더, Y-chuck(Y-pipe), 위치센서가 내장 되어있어 체결 공정을 위해서 별도의 설계가 필요 없다.",-,-,
유일로보틱스,"산업용로봇 제작, 협동로봇, 다관절로봇, 취출(직교)로봇, 스마트팩토리 구축 솔루션","유일로보틱스는 Industry 4.0 시대의 핵심 성장 동력인 산업용 로봇 및 AI / IoT 융복합 제조 전문기업으로써, 고성능 고기능의 직교로봇, 협동로봇, 다관절로봇 및 주변기기를 유기적으로 융복합하여 자동화하는 기술 집약형 전문 기업입니다. 
또한, 지속적인 R&D와 투자를 바탕으로, Big Data 및 AI 기반의 로봇자동화 시스템 사업영역에서 “신뢰(Reliability), 유연성(Flexibility), 정밀성(Precision)”의 기업철학을 지키며, 설계, 감리, 시공, 운영, 모니터링등의 Total Solution을 제공하는 로봇전문 기업입니다.",-,-,-,F01,http://www.yuilrobotics.com/,
유일로보틱스,-,-,협동로봇(매니퓰레이터),YBL-Series (링코봇),유일로보틱스 링코봇 EC시리즈는 사람을 돕습니다. 그들이 이행하기 힘든 위험한 일 / 시간을 낭비하는 단순한일 등을 보다 안전하고 효율적으로 처리합니다.,-,-,
유일로보틱스,-,-,다관절로봇(매니퓰레이터),YMX-Series,다관절 로봇으로 스마트팩토리 시스템과 연계되어 공장자동화를 실현함으로 업무의 효율성이 극대화 됩니다. 생산성 향상 70%를 경험하세요.,-,-,
유일로보틱스,-,-,직교(취출)로봇,YTX-Series,유일로보틱스 취출로봇은 업계 최고 가속 시간 0.5초로 로봇 구조 해석을 통한 강성 설계 기술력! 유일시스템만의 노하우를 통한 스피드와 안정성! 국내1위 최우수 정밀도 및 SPEED 기술력_LM Guide 각 구동 측 Linear Motion Guide는 최소의 마찰력으로 최고의 속도를 자랑합니다. 단순한일 등을 보다 안전하고 효율적으로 처리합니다.,-,-,
